Sample_ID,Type,Sex,Origin,Treatment,Site,Date,Mesocosm,Wtreatment,Ntreatment
ES0001,mosquito,F,Field,FIEL,Makiki,7/13/21,NA,Natural,Natural
ES0002,mosquito,F,Field,FIEL,Makiki,7/13/21,NA,Natural,Natural
ES0003,mosquito,F,Field,FIEL,Makiki,7/13/21,NA,Natural,Natural
ES0004,mosquito,F,Field,FIEL,Makiki,7/13/21,NA,Natural,Natural
ES0005,mosquito,F,Field,FIEL,Makiki,7/13/21,NA,Natural,Natural
ES0006,mosquito,F,Field,FIEL,Makiki,7/13/21,NA,Natural,Natural
ES0007,mosquito,F,Field,FIEL,Makiki,7/13/21,NA,Natural,Natural
ES0008,mosquito,F,Field,FIEL,Makiki,7/13/21,NA,Natural,Natural
ES0009,mosquito,F,Field,FIEL,Makiki,7/13/21,NA,Natural,Natural
ES0010,mosquito,F,Field,FIEL,Makiki,7/13/21,NA,Natural,Natural
ES0011,mosquito,M,Field,FIEL,Makiki,7/13/21,NA,Natural,Natural
ES0012,mosquito,M,Field,FIEL,Makiki,7/13/21,NA,Natural,Natural
ES0013,mosquito,M,Field,FIEL,Makiki,7/13/21,NA,Natural,Natural
ES0014,mosquito,M,Field,FIEL,Makiki,7/13/21,NA,Natural,Natural
ES0015,mosquito,M,Field,FIEL,Makiki,7/13/21,NA,Natural,Natural
ES0016,mosquito,M,Field,FIEL,Makiki,7/13/21,NA,Natural,Natural
ES0017,mosquito,M,Field,FIEL,Makiki,7/13/21,NA,Natural,Natural
ES0018,mosquito,M,Field,FIEL,Makiki,7/13/21,NA,Natural,Natural
ES0019,mosquito,M,Field,FIEL,Makiki,7/13/21,NA,Natural,Natural
ES0020,mosquito,M,Field,FIEL,Makiki,7/13/21,NA,Natural,Natural
ES0021,mosquito,F,Field,FIEL,Makiki,7/15/21,NA,Natural,Natural
ES0022,mosquito,F,Field,FIEL,Makiki,7/15/21,NA,Natural,Natural
ES0023,mosquito,F,Field,FIEL,Makiki,7/15/21,NA,Natural,Natural
ES0024,mosquito,F,Field,FIEL,Makiki,7/15/21,NA,Natural,Natural
ES0025,mosquito,F,Field,FIEL,Makiki,7/15/21,NA,Natural,Natural
ES0026,mosquito,F,Field,FIEL,Makiki,7/15/21,NA,Natural,Natural
ES0027,mosquito,F,Field,FIEL,Makiki,7/15/21,NA,Natural,Natural
ES0028,mosquito,F,Field,FIEL,Makiki,7/15/21,NA,Natural,Natural
ES0029,mosquito,F,Field,FIEL,Makiki,7/15/21,NA,Natural,Natural
ES0030,mosquito,F,Field,FIEL,Makiki,7/15/21,NA,Natural,Natural
ES0031,mosquito,M,Field,FIEL,Makiki,7/15/21,NA,Natural,Natural
ES0032,mosquito,M,Field,FIEL,Makiki,7/15/21,NA,Natural,Natural
ES0033,mosquito,M,Field,FIEL,Makiki,7/15/21,NA,Natural,Natural
ES0034,mosquito,M,Field,FIEL,Makiki,7/15/21,NA,Natural,Natural
ES0035,mosquito,M,Field,FIEL,Makiki,7/15/21,NA,Natural,Natural
ES0036,mosquito,M,Field,FIEL,Makiki,7/15/21,NA,Natural,Natural
ES0037,mosquito,M,Field,FIEL,Makiki,7/15/21,NA,Natural,Natural
